Role,Title,Text,Link,Image
Data Scientist,Data Scientist,Yahoo,https://www.linkedin.com/jobs/view/3161368897/?refId=d0fb5d6a-8257-47d1-9ded-cd7d91f6aba4,https://media-exp2.licdn.com/dms/image/C560BAQFdlmYU38kYTg/company-logo_100_100/0/1656688552470?e=1666224000&v=beta&t=WAEf3A55xk3fDcdx4ZOTNZjo71f6F3eDG5t07rKiU9k
Data Scientist,Data Scientist - Remote,Ford Motor Company,https://www.linkedin.com/jobs/view/3162882027/?refId=7f72fbe3-e26f-4be2-baa0-3e365c1284eb,https://media-exp2.licdn.com/dms/image/C560BAQHZnQf3t8fKKg/company-logo_100_100/0/1620306010588?e=1666224000&v=beta&t=44c4DK5b8SBaC-9CoJwFqKVkJktLhJ6j3CBbPhsfn70
Data Engineer,"Data Engineer, AWS Monetization",AWS,https://www.linkedin.com/jobs/view/3099823626/?refId=c1fb60d2-d40e-44a3-8881-28f97d92b644,https://media-exp2.licdn.com/dms/image/C560BAQE_4UwvNNtNTQ/company-logo_100_100/0/1640205885683?e=1666224000&v=beta&t=EnQQGhAh6sHFWKElvI_stI2GNl8Ju-GVkDT_FH9u6cM
Data Engineer,Data Engineer,PwC,https://www.linkedin.com/jobs/view/3133062377/?refId=69cae850-ea00-4283-b53b-e5e889d8d933,https://media-exp2.licdn.com/dms/image/C4E0BAQEmrKLpZBvpWQ/company-logo_100_100/0/1658233643318?e=1666224000&v=beta&t=sS8yVcBHbMRjs5pYXTgxsJ1sRAhTYZ4YQmQLLF7ZWmI
Business Analyst,Business Analyst - Strategy & Analytics,Toptal,https://www.linkedin.com/jobs/view/3117489880/?refId=db169228-f0d7-44f2-98b6-b3795cd5a1a0,https://media-exp2.licdn.com/dms/image/C560BAQEJlZg66jWL4w/company-logo_100_100/0/1580139518352?e=1666224000&v=beta&t=BjAFsP7seOyc3meKaoAFb2Da-WazRUwYDbal_DYNbks
Business Analyst,Business Analyst - Software Asset Management,Visa,https://www.linkedin.com/jobs/view/3172771949/?refId=d3e3955d-5ca6-495a-80e0-5b245f0d63b5,https://media-exp2.licdn.com/dms/image/C560BAQEP8_eM4zW8bw/company-logo_100_100/0/1626865473807?e=1666224000&v=beta&t=0gnDaUkydzVzzLEz4pF_Tj81ieCWzu8HmkERIFaecjs
