School,Text,BusinessSchool,Ranking,Credits,Location,OutOfStateTuition,Link,LinkName,Image,SalaryMin,SalaryMax,SalaryAvg,BonusAvg,Assigned To
Boston University,"Boston University offers a 37-credit-hour STEM-certified Master of Science in Business Analytics program under Questrom School of Business. Students could select 12-month or 16-month track to finish their program, and there is a summer internship in the 16-month track. Boston is one of famous financial centers around the world and close to New York, which provides students with many working opportunities. This program aims to develop students’ analysis skills in marketing, healthcare, and data processing. Also, the program sets behavior courses about leadership in fall semester. Michigan Ross also offers the similar kinds of courses offered in BU, and Ross highlights students’ leadership skills so that students could become a successful leader in business world. Michigan MBAn program provides quantitative analysis courses as well, but it sets the ‘Supervised Machine Learning’ in the second semester, which is different from BU setting in the first semester. Ross considers students who are novice in programming, so it teaches students basic programming knowledge in Python and R. What’s more, Ross students could have real-world experience in companies through capstone project, which is the same as BU, to strengthen students' problem processing skills.",Boston University Questrom School of Business,47,37,"Boston, MA","$81,614",https://www.bu.edu/questrom/degree-programs/ms-business-analytics/careers/,Employment Data,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAMgAAADICAMAAACahl6sAAAA9lBMVEX////MAACZAAAaFBHmv7+mAACzQEC/AAC2AADZQEDW1tbMf3/xvr7lfn7e3t7v7+8jIR5fXFrFxcWmpaWzFRgvLCnn5uaFhILMzMxzcW9HREO+vb2ysbA6NzSLiohRT0yZmZlmZmbPEBDVMDD77+98e3nrnZ3SICDsz89yCgg5EA71zs4wEA6gEBDib2/MmZn43t4iExApEQ9EDw2tMDB9CQeJBwZQDgxZCgjfYGDojY2MFRburq7Tj49bFBRlFBQ7KyjbT0/GcHB8FRawbGxmMzPNqqq3IyavXV6ZQUJPOTdyQEB3JCRxU1JILCuIKShyX12gf34Y26q7AAANE0lEQVR4nO2dCVvbOBPH5QhKM5v6jOP4dhJCGq5yFEJLW7pld9/7+v5f5h0dduxcxCS0Ttf/5wGMbY38szSjkWwIIbVq1apVq1atWrVq1apVq9aM9n7ZWIfzVt+VKC5KXJQuMaNfGhvr/TzJqxLF5Q0tXWL7IAtIdhRknuQHgSibaQEKAzlYo+jrPMj+GgUOXhJkn5O83X0QQXL2dvdB5kl2FUSS/AQgguTtTwDCSaada4dBiiS7DFIg2WkQMTKeXfwEINzj934CEE5Sg9QgNchy1SBbAnmdakFNqzR3qQWQ/eVmsyP7eZDGcsOFAmtMdedBGqu0GiTT3J0+KFiZgqw2PFviZwV59yrVMpD3rxbqbBXIt/Ss90tBMkPiOt4+afj9TImlWgayt/j0V6tAMu0tBVl6HesZrkFqkBqkBqlBapAapAapQWqQGqQGqUFqkBqkBqlBXghkuX5aELYk/TOAMI7sAbUaaZUCKaE8h+ZSau4oSJ4j0CmlZDdBCu2BGNTdTRDu55IDQuQIyU6CcA75mlPE2iOEnQQRHLxB1JhxeKnR3QLJcXA3p8PM6AzI7XWVQTiHcJAh5ZoazYMcjE8prTKIfCb4mXgCg+oLQPZPqWHQh+n5VQSRJO8kB43mQW6oHut0kju9kiDi0k7nGyQDQf/HI43Kg7Br4xyTB0qTeZA73caDp3nsioIoB9eM40sbXQFjcIJBWHetFKQhmup2F0BuBEebUiAqDogeG951TYAc4/Zj1iCVBtlnHMft9j3mJpEeBwDguzTWXQ7C+lyb3u0CCHeQs3Z7Ql2P6gBdywogsFX3cowgl3jsnmbmKwxyy32gzXqWTvXAMqjXcyOrGxEzPm4oD/Sx/UCzs38EyP4qTeubCJAzdAbE0NMBhVq6xdKvwDp+nDZIlae6Y37Z9/eMw6VT6ZHOJoqumVzS6+y9rQqDcF+nk1OqWzHNS3d0ltBbYNJQv6k+CA+wFH3aCWlRoWuzVYguBMh4ffAjQT7vLdT7Qn1yyItnOTA18djkBFTV9brO1f4PBFlvpfFhjiBVT+fTE7VjG0aiVx5EBq5FMmjACmimbtvRbeVBRLK1SLqnMzfRCCbyun5bdRA5uhdlJ9zhdUwkCRDgHe226iDHi1rDxWwFcxY5+bXYLrh6XWmQ/alPuMaUxO+QTpLO4jWdMpaHSoNkYSv0PMOyMxJA/zBtWcigrHvR2yqDSA/xgsjoWYafDSgGI9FkIYt22b67CoO8lhwJyxg93/H1AomUyruWfVxhkNt0zBAR1/KDjCTJkQA7Ia4yyJ1wiMw1IojolAQ9viOK8VB2XWGQueEwgmnsckDTIOggDHviYMTjCoPMYOiB43RTh7d1o+MDRJZFVdbtrqocfgsUtEdMw4pDP5KOEtug+kMr8W09csaVHtnzILGuah5mJEPbtVyBYtgAncB3qZVcVztFyftIzyBRoCUBDF3H9V02OEYR7QL4NHT0cbVBbnM9y0hI3HEMF6zEi2K3m/RsGjnYJl6IQbniILnc1/NM8CCkhmUBGD3XNgKwPJ9Cl+phQhsVB2lkILZtmq7Vo15kYXcKKHYtO+g5FFhOH9GDioPIIZHLNIeYH3rDCEgHwBERwPBxiAyN08pPrA6mExJL9Qydei5bCdLAFyOjb3W7bNHr+qDiILkZSUxCj81LMBWWy1xO0FVROM1K7MtGxUHy/g46WxkSY4gt1h4ATJM/fVfNyLu6qzIIf0ZCw5CPidTwQopxN3t3QCAwBRpRo6DCIHxQtD2vp/MVRhz9kMNLc3htaKP7m6bp6Z5hEm+x2UqAUJct9vZ6js/WG/SYPf+MUw7VHmpaElMvNmhk6WBUGMQFHNVtMzDCBAMV62FDNTsfvKEtU0iclOhqZFYWZAzA0twOW2Mw+MsDhbsOQy8LBjQigVVJECx7cAmWDb5KgoBYzNvzLw5wdboyF6a6RszZo5UAadDT64kHNltpiJyELZeE8tWzgqCbNkjlQBrXD4195fr60xnPpaCThACqRtz01bOCNEgbpHIgyjiIsPP/tncVs/SKTQSJ6loqCRcOFB0+0jP3CKoGoihJl/5GyGcHg5EJwJ5+emCwcJVbBpoKXIf/TLYctS6yR1DLQJ58YnVsX739TMjv2P8BIGHxqRNYQFRQF1SYrgsZfyy2O/MobG2QLfzPh33626vPf/m2p3MQl2hJQlScTIFIrcgsjmin06cNf2+QyeX79tnjw1//xkFiYnYT9GpMQ0DkiLMDhgC7qxrIWHfdXngVdIIvlC0wxMQlQwIBxMBANJxbFUm6HKSzxh0qDZK9yjAP8tSbDwfHLpuZg++6VnBJsT856CWB6ptgxQwEEk31Cx0r4T/M9V6pKAcyf/1ra9IL9Z4XO13o9vx76qCPRCqBqKeaYSy6ljXTIDxawddS1bw4SCPU+Tt+mPQCBPdfKI9aBOgwCAIXFsRf1WL7VPfmaePfE2QC2QJ86MPfz459sDyMVgCdDgRd3iSdQn2ODzjjTSbl6nlpkOksnQu64bDHmsEUya+HQCrJt0rHREDvcly6ohcGaRRBIgiGgQFqxw4wmVdNVwbgab8y447v3T1t+HuD3BRBaAKO1fO6ztcEEVQVU5X84N7Bbqcej59TXeOFQcYzILoPoYO9qn3/cHxluK6NfSt1eE0Flw69Z9WT/6OO7wKCXpF4tN2+n0zO2qgz5vaIomkdDGqnN+Px7dNGl3C8W82xZRBqgf2l3XZA+wcDaV/hAMPlO8fPYlibY6sgXhx6UTxpt82EWLxJHq/koet1/sHcJhzbc/Y44REK+9bk8SsOi/9kIBZOP/g0XS8dcUtybC38sgm6jFBqcmV01SEDCSLHD5IQI7P9zJ4l/jjlaY5NR/aUAxm0fE6luvHvCPLw8OVSjjHB8TN6l8BYoz02zrUkh8HydQ6ipVN11XlEH5mka1k2uOPSJCU4Ns1+5TMRZAA+Fe8MpxlJ91//jjArFk9HvNC31/qXknmV4NgURDaJiRN09gqm2stnVipOT3AE4Q/bdd2P7kqSrOvnGcjBBhKPpUEFtk7V8QtrQJraY9PBDn+/JnLgK87hSpguxbH5h0TwkQKHPLZOBcPCBCTQwA06GkTscahLLWdc2vraHJuD3LKw1GUzQ8wKi4tyJnv/OuxZEOAwgxHBv345ji18bAcb3n2AHt7/oJi1E5clxGBZFuXPqCF8OY5tfP4ITxYhtnCaW5zbai61E/l2I5tI+r3/lLNcgmMr6rDBQsf+5ZqFxbjpa2hyULTi731pZTUUY16vl28SrTsD4vqLVuirJZM9aPN0Oz+3BXcGJAG63MKmOlyylFxa/+XX6kC6aKKBOcOBkxX6fPtPTBBLfcjPat3wESUSs3ScEc5xYGyjN882/9R/+d0eSKNxKdpEyJnj0OGlQVYu8JbRA0PRHR+CKcY4nSRSuxvQ2+cZXhNkg6RxRgd3s81woyi36WtDtk2fNrFQ+98bBNPh4l+RiKXR/fQvAJ6xNicMfH8QVOMy43j+kkNRPwZEOchAtmWxBEiL/3bSV5T+CW4c4a4Pck8rPVfuaioKfj9/I3ZxNfl+/GrxY+ky0f/YDn4etyE2uQW59QGrkxtNvj+tqsVr5b++eQ4I+aQoJ3zjozIQe97kQMSuwxGr4GIFiPKNLQJNGq2nQMhA+SRtbwtkcEKOmkfiQs6bJ7jRFBsM5KhJzs9FZU32xWsdnfPG4eqz7f4RORlwqNHoiB8bkKOBgtuHzQEea7LNpjAwOjppNrmBlthQ+lhHn1V+Tvh1DD6RQ+VXvKOjciB4uW/wPnEQtC5Amnwv++IAbJc4rpD0t2mTKKI4O3bE7jjfZLcTr4b1z48KO0ORBt60FFlDS5ZWhF2sSBga8SY87Jf0kSUg6ZEFIKPlIIf9PAh6wa8K9wcB0mz2Z0CEZkCUI9I/5AbKgly0Lthty4GcN5ujaSVKEeTNchDyIQ+CXveR9TcO0pIXPgXBrtVsTuvAvdLmiJzIBikJQggvl4JIzx4sATk8XAFyUQD5SE7OyQW/fGZSgBy2WifMlHD2owUgWE42yGZdK9u7GAS771KQT+n1itLYtw55zxJdS4BcYDw4GuRKz4Mo6VW8MAhZCtIsgvCIPspAUme/4O3w8iCDVmuwCqS1HES5KIJgH7lQ5kA+cLqPH18aJAu/S0A+rAA5L4L8SuTNL4Zf3iTF8Ls5iBy+xchM2BDfFBvn4tp4LXKXGIDZbc+DyOI8oPWF/7TEHuYk0kVSA2yLfWvJig/lyC7OkUbT4s8AYTEqTbEwjpP0TspKsl1EXkcGIo7wEMdA2K/5KzlJXaQAgrgyOGLBbYEMWDQXowbb7Kcb8obLPYqM+fxHPz2aHRnJjZE8hgZEXBqIM0dNoT7fYrsHWcG+rGOUVTot/qPS+O2rBqma1gRZ+TloldCaIDuhPw3I9KPJKq5vT4DUqlWrVq1atWrVqlWrVq0/tf4Pbq5zC8irLZIAAAAASUVORK5CYII=",,,"88,000",,Chaoyi
Carnegie Mellon,"Carnegie Mellon University offers a 18-month 108-credit Master of Science in Business Analytics program and Tepper School of Business. According to its class profile, this program is mainly opened for applicants with more than 6-year working experience. At the start of the program, students will have intensive training in data engineering. As a top university in computer science, CMU teaches students to process problems driven by statistics and programming, and students could have capstone projects in technology companies and get jobs there. Michigan Ross’ MBAn program is suitable for students with a few-year experience. It is the same as CMU that Ross strengthens student’s data analysis skills to process information in today’s data driven world. However, Ross MBAn program is quite different from than CMU that Ross sets leadership and management courses in the first semester, which helps students immerse in business world at the beginning so that students could develop their business logic as soon as possible for applying for a job. Also, Ross MBAn students could have courses with MBA student in winter session, and have connections with top companies through Ross’ alumni network.",Carnegie Mellon University Tepper School of Business,16,108,"Pittsburgh, PA","$69,495",https://analytics.tepper.cmu.edu/articles/how-masters-business-analytics-can-boost-your-salary/,Employment Data,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAOEAAADhCAMAAAAJbSJIAAAAz1BMVEX///+ZAACpS0uPAACaAACUAACTAACOAACLAAD++/vit7fmxcWiJiawW1v99fW8aWmwOjrQl5ffvb20QEDFamrz39+lOTnUrq7HcnKpRETu0tL27e3Ym5vKh4eWDQ3MgICaKirFiYn05eXer6/CfHy0Vla4UlLAc3O7W1vfqqrBdXWWFRXMl5epKyvt1dXTjIy5WFilDw+0SEiqISHSoKCSEBCaHx+oKCi2ZWXKenqaLCylDQ2rQEC4c3OxWVnXtLSlTU2jGRmfOjrAg4PPoqIF45BCAAAPnUlEQVR4nO2dC1vaztOGN2z2kARDAgaFcEw4g6BIES3YUv3+n+k/swkWUNtf+xbh8t2nvSQJm5g7Mzuzp7SEaGlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlp/b/UKnM6Wh2EMMOMUxHLHIbw2Fxb0oSaUBMeX5pQE2rC40sTakJNeHxpQk2oCY8vTagJNeHxpQk1oSY8vjThvyDkQjBOmWka/DMSmpyafj5v3xuS0k9JKK5sMr669fokvr2z/+2MzX96ZIcmpKuI+IJyJpcBIRH9l4i8btdrxyakK5cEJWqCt9JlRJx/SSjuCXGbv7XiYQlZKSLET6iYbJHxvySU4BTkG//dFQ9KyGieEGvFN3tB+E9t6IMNn45rQ3oF28FZSmWKy1D8Q0JW8+3q/LfFDkloyhi2y6UXqmxkJuQgZpibw5xjzqTpDoUvOETJ9GsTSxvbO3AmFegMjM35i3+8G1YPScgNC7bt+U+7FTA/CuZ1pjeGwPgDd8m5WWDUu59yrnamN4Le3N7SlFjwq86tEMkOFbedginEbb3HsDS79RSfMAsdU3LTeEMHJSzsE8Jd8/nE6ffzlhUXqcGqjhO6pHxjY8G240Qhcc3HMl4jSQTD+zCYhVZH4O3XOpFrj4ndiV1i+07Zdck3YBfFSpgvE2f+phkPSUgHuB0b23WPNyLSk1LmQmItwft4HZ5CUK1DzA09WXXhY2C3b4DR8rnBhjYpm/ImJP4QzvWJO5XMIeRrSGxT4oO4oIZ4jEhTSp9Y7bcQD0mIwe4V4cgirsdZdkzIGBBEFwjd1hIJr2QTCIldo7IDRx2Ds5hYz4KJCHgZbbskhCr6bBG/WX5i0laEfA4pd8m5B1d4C/EYhKRH2RUQumtu0ibsj4u12LVmhkBCt01N7uHRpby2iDWijIK1okcZWyRkjMIVLAaVfEMIH+Mrxguwl/9oL63vE3KTl2wXjETRD8GWCWF5TRurVY1xJAxNnhAGGQ4OaY2kUP74LCG5poSuCQ6eEIopnBMspcTMFC1eG/GghFMVaYY/CSFasMb3mnk1vYy2CU0GQZWZ+4R3UIgEvu+j8zrMt/BLBnsWA5KEULbQ7nnfx8xERq/z7UFjqYnbW7G0VjGpvJuMrXylEm4TpmbeJ7xCwrzX66CK3AzhSyHAsHXMHinhDIpGl9PpFMpMsx/rpYkfOcsNIR0GEA/hhkwpzfJ/JEQvpVQISBfUsCz/y3JM6tLcJRxfJWXeajIdttUG8W271dYL5Qps15dsN9K8R3irCKkJMuaFYbYe+47txJ5QqX3LSyHSqELF5QcTMgoeRVqbB8vHIZ3BgYo0E8ICNX5JKDHSzFTw4GeVddyCRGpwKZP+RBpp1vDMgmISYQatj62HkM89sMJMNU5MJqvQA0bCvjR5EQnvGkXxS8I2fOTVd8NqKxs9r1pKCyyfxlKKHxBDway8VCl+MCFYcRFgHmbQmOZPFokkAoWSq+rofj1rya7K7UkFki2wRwhtaKryYUlSyKjjrOCcDuJ5OyJhosheMzPN+FJkI3RlKFObDT444yuzZPIk7EAI8PJusxoYc0hqJC40/Rit5PQ8NGrQOfPABtkCRg3r2jO8KhwNq8shgw2n89W7sH/IYvDzF+Thgh48DvjyTnx3iNVc3+Sc6lt9s4OPRLF5z7GCfLlcz3DegYb3ueO65ct5rRq6zrJdUZr0e9AoX6Y75+Yk2ap4jGcqbhjYlw9gHXwoqaI743yyOZPBNa2oPFkO3wD8gPFSRgVbr284OiI6EWxAb47hh+CMpmKqZCKO/UMlPCg4dijxRBpCr8S2bQc8/5HzrTOpUOe8BfghI8ImVKydCqI6cubbXdY3+3jqpGzkyFQ9IHyv3DEI/wvFSw1i741z8AvSUZ1meDYP486JEPJEW7eZaIcCOvacGmuWfGm8WZnwEeRJJiE0WNEx3nsQH0rIuqPWYNB9atVecn77qTvojprbbyuw6mjQGuV7dD5oDp6aee8961yQnEjcm9s5+q43fySh0ctN3DB03U7SzIKUHOL+5HK6TXg+cFyL3Ith7x7CLCm8HTBw7DVcSwgt8m5c/YMJkMO2S+m0jBHekekY2zmmMOLxnbF4nsXUfU9hAxt57xEavOi4cWHa6ztvJfbjEBqiV8e7J2nc/NJXnThvj6GREJrs14SQD+4mcVy5nr9b4uMJ6bn/hPvXQs1cXNmthHC3EinC3u8JcZwUUoX4E76D2/DcX6BjlvGuTVG/Tgl37+G/2hAuoXRKhGDDGjZEra8cs0KZ7dqQ/YpwOzGayQ5jf0h3eEKwoXxGwhZA0U5fVhNCQ2VB00hSpSI83yY0GWRILGJs2nJrqIWC0d/ONB2DcIGDLWN4/DLu0BdCxnLf+vlRlm4IL7cITc7aeTvOV2+oMezOqq2W48vsyCl/677b5DkSIXipGpGBDhQ8fcfkKaHJa7Y1ybSiEAP/vpeafO2E5UymGYV1WStgZ4T4352Jg4Nqf4x4cEKK45vE9SnPTeiGEJpdJJgzBh3cR/qKkJfGhDDoflwQ4kuOk5DEiUuUwbMKu3+62uHgXkq5GvUsG9IubAhFrQ+d2C8Gb0IVLYq9bCEb8FGWpsmxy9+RDAnDO5pM1l2clg2RkDGwCIkW2fiHsSFcuIRUoHMIhKQv92wo8CgQGhyH0SKmCB3BTDVL8MduengvNWkVW26zbn24IeR4q3amVEKjuPuEaOCfhGGbI+EM2gynSIg2NLmp2qZxm28I1WBNcD+ZVPLQY+e72cL74WwTus2U0DhJQrShYeCwJ7HihrEhbGB4tRuZUnY+n2f3soWHcQYIjYTQGilC+0QJ0YbQmuzhsRF/IZyrKd8aU+Js10u9h7ds6J8oYWJDzgmGGvZCyCvws58MFIvZ3V49HMbbhNFSRZr4NAlNVQ+TNRlqGjEllAv46XzBEvwmrYdb2QLBEkIcsBenTGjIy5nETo8HzqYaminhHJAtnHVjtf51EksvxaYHLGvwbQDn0aoLjaEkH56ol0KvfPyApptHQRH6BTWmCAuc/4C79jljxWZ/zrKIcMkMdoWEHc4zDj4GCmjRQNZMPJqHB6QmPRzzhAhZrh8F8T3E0C8VG3bNSRUOBFGlPhWl2Zg8j/yK36D1pgMH+9VCbgIbQaW+FMVZEDRb34L8oxj2Jnk46twXi/c2bkx6v1+P+GE2fFydLVaLLMBdZZBwtTpDrVZLg7NMc+Y/LYbMyKVHvTO1segWwZ0fR9X70WrIjVomObp6eOguVLnMCREaKh0kWy+7m0PY2VPdvfQQ2/maQUsh3Xo5uH32qRDuDTr8xRjE/12HjTT0Za7l5+6nIpz2em1Qr9dRu53eY7s3Xb9xF3/ec//vZx40lrae1WipE+PUJTOrFyEpVx9e38T87Gz4V4wsu/iexh32znzHgb1Uqhbpmdysg86Nr+Trexg2w6j65W8AG7EbLJK4tXwviRy41XaJe7lN3WMZ++YNW33HBnbxL97FoKr118DfxFuTYxAae4RGKV6/QfiIhZZ/4aY0ByeOldvLi8o7MewUCIfQqff/LI0nwgEtUleDqsZ48o4TnAIh49Pp3wVTNi9kFaAckfqp2BAnfPm8Bp3GeboOnRtUUIilNJ0wNhlu4TLGYaOGJczNOazRwCfB5425avDAYcHn3OC1pguEnL/MObOfU88fTtg+73ZbleVw4cf96ne44ZvL3KBbjRvT7qDbHeSuWa0zGLR60O8YTCaVLrB4vUcoUfF+VB1nwNh8MalPFot6ca3OrDSMezVm8Hh+nsNLPLYZg0sM2schvG2p1ZK9luOMCQkXnK9nF1joxwI7SQRS53DgkLApz8phs50n8ZksNbFjWM7hOqrwcTjL54oDJwzPvBGSlRvrZ1xL5IxGI3WJytO6BpeInthxbIjL0kkY+0WBCxedIjNkSWUL+YD3OYG+Pb0at+RZQC7ACUMSnFGJC1XDGS6Ss5pPThE8cJ4Pv3PZxks0GJ/A571kIoOXqGPn2SSP8kheKq7UYi1wPm4lozcsowgZjoCrFZn8rPLAgGZEDVz/nM+KG7zMiOPbb9N8rHolJUj1KltAPqzhuA9EGsa/wUYEzSfatTcTqR9PiMvR1OwDx2XCK3ClhNBgjzj8fykMNmvhNJzlU46E1pMijBay5JRzmcDqFwxKZa5o7BMaXE10NYXJnc3qiCMRRvjaAHcTQpoSGgwHuy1JS5OMxJHSJmVqDfuIfSXq7SI+nNMSMluuc18TrwmZgeUDJrz+S/P3BAg3NkwtUJdNn9/gMHnkOE4QjsPZMCVUGSSf/o7wkb4iBO9Ex2jK53P+QYTnO4SsFNd+QcjUjHgwnJxJJLSa3DQhEcKfG/LyhpiarFPKz18RghFVWL2pfDc+hNCkHdyrb54nzdgG3SPkPwmTu3f7VQiFVlIPOQ5uZL+gDcfttN0zKkcJZPE1oSnwEsEsV/sYQoM94JsSldoG+Pwb5+/bEFjQAuEjhMpQERomtHCKvSwSBo+K0LuurRej5zh4kxDCKNKPt5aVHXht4hcc4hwPk+WWjNq5Nwj5C6HBn5NV36bEDPes7pkOBjyth8rR8ysBTTYjM3YfXmULrBjJNOqHEbIMBg9IxqZpMtkNoA35QshSL01jqVpdC1+6LeVucFqMb2HSUuVRpPUQI01pHNfggTHu9L/Qyy3Ce8pv8YGs914OOvT6UrFCP8X38SSLoyFn0kTCDoR6qfKhZFIRPqgmiMgTF5vMpri24DlIIWv9kZAGEhalRMIyqUhB5QryoxpCiGuS4jIdW/ZwGgjn8nbWZh58BS1fjpMJ0jKxOWeNieNCOivX590+5DVSjntxHjfsPi5+4x7xkyWWouFA0DmfBC1ZrPQtOCfuQ4UGwsgqd6aT8kJ21Jlhpc5rMwK/xMYV0SadEn+7I3X4NcJU3FVjp+xUb/E90HVhuva+3k692nLqra/uptMr+Ht3Cz/X6oH4N4mHQa0tVOP8pUmN2+n0xjOxKA7NTA2Wm9n1tTDupoXbK9ObwhG+rPoFmSyZeijvLCA+PCGub8JXktJBU7ZZJcz3lT6QLfNTPMvcnMLTJVK4Nl5QpNk6jD3FdAFxtr8zefPJ/vUWbB548c6AweciZGfPOdHZXUH8qQjZIrBc7/56Z8TmUxGqdTr3zu7BT0XIsA+9vwT3cxGyKi5n3J3A+1SEkFcMLvZmKD8XoWLc02cjfC1NqAk14fGlCTWhJjy+NKEm1ITHlybUhJrw+NKEmlATHl+aUBNqwuPrQISf/v90/vz/L7eWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWltbJ63+dmZBeoYLMUAAAAABJRU5ErkJggg==","64,837","147,491","103,000",,Chaoyi
